"Label";"Volume of sales index - Retail trade not in stores (NAF rev. 2, lev. Group, items 478 and 479) - Stopped series";"Codes"
"idBank";"010542971";""
"Last update";"29/02/2024 08:45";""
"Period";"";""
"2023-12";"160.35";"P"
"2023-11";"164.52";"SD"
"2023-10";"161.45";"SD"
"2023-09";"160.03";"SD"
"2023-08";"161.09";"SD"
"2023-07";"162.25";"SD"
"2023-06";"160.93";"SD"
"2023-05";"161.26";"SD"
"2023-04";"160.47";"SD"
"2023-03";"169.58";"SD"
"2023-02";"160.61";"SD"
"2023-01";"160.03";"SD"
"2022-12";"161.03";"SD"
"2022-11";"156.79";"SD"
"2022-10";"162.3";"SD"
"2022-09";"165.03";"SD"
"2022-08";"164.08";"SD"
"2022-07";"159.11";"SD"
"2022-06";"169.15";"SD"
"2022-05";"164.23";"SD"
"2022-04";"164.06";"SD"
"2022-03";"168.77";"SD"
"2022-02";"168.92";"SD"
"2022-01";"167.83";"SD"
"2021-12";"160.76";"SD"
"2021-11";"165.86";"A"
"2021-10";"163.73";"A"
"2021-09";"161.63";"A"
"2021-08";"166.74";"A"
"2021-07";"160.47";"A"
"2021-06";"169.64";"A"
"2021-05";"184.22";"A"
"2021-04";"187.12";"A"
"2021-03";"182.58";"A"
"2021-02";"176.88";"A"
"2021-01";"162.64";"A"
"2020-12";"180.35";"A"
"2020-11";"160.14";"A"
"2020-10";"156.58";"A"
"2020-09";"150.26";"A"
"2020-08";"154.16";"A"
"2020-07";"133.51";"A"
"2020-06";"157.46";"A"
"2020-05";"151.93";"A"
"2020-04";"125.67";"A"
"2020-03";"128.88";"A"
"2020-02";"134.92";"A"
"2020-01";"135.62";"A"
"2019-12";"140.42";"A"
"2019-11";"133.84";"A"
"2019-10";"134.18";"A"
"2019-09";"137.04";"A"
"2019-08";"138.63";"A"
"2019-07";"136.36";"A"
"2019-06";"136.41";"A"
"2019-05";"134.11";"A"
"2019-04";"136.56";"A"
"2019-03";"138.24";"A"
"2019-02";"131.97";"A"
"2019-01";"128.68";"A"
"2018-12";"128.6";"A"
"2018-11";"131.9";"A"
"2018-10";"128.23";"A"
"2018-09";"126.64";"A"
"2018-08";"126.09";"A"
"2018-07";"126.3";"A"
"2018-06";"125.0";"A"
"2018-05";"127.8";"A"
"2018-04";"125.98";"A"
"2018-03";"126.87";"A"
"2018-02";"123.98";"A"
"2018-01";"125.27";"A"
"2017-12";"127.86";"A"
"2017-11";"129.3";"A"
"2017-10";"125.77";"A"
"2017-09";"124.46";"A"
"2017-08";"123.14";"A"
"2017-07";"124.64";"A"
"2017-06";"119.37";"A"
"2017-05";"118.06";"A"
"2017-04";"113.19";"A"
"2017-03";"119.86";"A"
"2017-02";"115.24";"A"
"2017-01";"113.37";"A"
"2016-12";"112.29";"A"
"2016-11";"113.87";"A"
"2016-10";"112.82";"A"
"2016-09";"111.78";"A"
"2016-08";"112.18";"A"
"2016-07";"111.28";"A"
"2016-06";"111.05";"A"
"2016-05";"110.26";"A"
"2016-04";"110.51";"A"
"2016-03";"109.76";"A"
"2016-02";"112.33";"A"
"2016-01";"110.9";"A"
"2015-12";"110.02";"A"
"2015-11";"107.49";"A"
"2015-10";"106.53";"A"
"2015-09";"107.14";"A"
"2015-08";"106.84";"A"
"2015-07";"94.55";"A"
"2015-06";"95.5";"A"
"2015-05";"94.5";"A"
"2015-04";"94.85";"A"
"2015-03";"94.23";"A"
"2015-02";"94.44";"A"
"2015-01";"93.9";"A"
"2014-12";"93.79";"A"
"2014-11";"93.27";"A"
"2014-10";"91.26";"A"
"2014-09";"92.62";"A"
"2014-08";"92.64";"A"
"2014-07";"92.54";"A"
"2014-06";"92.89";"A"
"2014-05";"91.94";"A"
"2014-04";"90.63";"A"
"2014-03";"91.61";"A"
"2014-02";"89.81";"A"
"2014-01";"90.81";"A"
"2013-12";"89.98";"A"
"2013-11";"89.56";"A"
"2013-10";"89.21";"A"
"2013-09";"90.18";"A"
"2013-08";"89.89";"A"
"2013-07";"88.41";"A"
"2013-06";"87.46";"A"
"2013-05";"88.38";"A"
"2013-04";"89.67";"A"
"2013-03";"87.23";"A"
"2013-02";"87.91";"A"
"2013-01";"87.04";"A"
"2012-12";"87.35";"A"
"2012-11";"87.4";"A"
"2012-10";"88.57";"A"
"2012-09";"88.5";"A"
"2012-08";"87.27";"A"
"2012-07";"88.22";"A"
"2012-06";"85.99";"A"
"2012-05";"87.42";"A"
"2012-04";"86.62";"A"
"2012-03";"86.64";"A"
"2012-02";"84.84";"A"
"2012-01";"86.84";"A"
"2011-12";"87.4";"A"
"2011-11";"86.38";"A"
